,name,item
0,youtube.com,http://www.wikidata.org/entity/Q866
1,youtube.com,http://www.wikidata.org/entity/Q15965980
2,youtube.com,http://www.wikidata.org/entity/Q18157148
3,youtube.com,http://www.wikidata.org/entity/Q55020669
4,youtube.com,http://www.wikidata.org/entity/Q18643737
5,tmall.com,http://www.wikidata.org/entity/Q2829108
6,qq.com,http://www.wikidata.org/entity/Q15912288
8,sohu.com,http://www.wikidata.org/entity/Q965133
11,taobao.com,http://www.wikidata.org/entity/Q2117484
13,yahoo.com,http://www.wikidata.org/entity/Q8046876
17,amazon.com,http://www.wikidata.org/entity/Q3884
19,weibo.com,http://www.wikidata.org/entity/Q92526
21,live.com,http://www.wikidata.org/entity/Q841814
22,live.com,http://www.wikidata.org/entity/Q1156115
26,vk.com,http://www.wikidata.org/entity/Q116933
27,microsoft.com,http://www.wikidata.org/entity/Q20712437
28,microsoft.com,http://www.wikidata.org/entity/Q62008593
29,xinhuanet.com,http://www.wikidata.org/entity/Q11081577
31,okezone.com,http://www.wikidata.org/entity/Q12501252
32,csdn.net,http://www.wikidata.org/entity/Q5014078
36,instagram.com,http://www.wikidata.org/entity/Q209330
37,github.com,http://www.wikidata.org/entity/Q364
38,github.com,http://www.wikidata.org/entity/Q76516961
42,zhanqi.tv,http://www.wikidata.org/entity/Q22100017
44,google.com.hk,http://www.wikidata.org/entity/Q10847352
46,tribunnews.com,http://www.wikidata.org/entity/Q12522334
48,panda.tv,http://www.wikidata.org/entity/Q22099300
50,bing.com,http://www.wikidata.org/entity/Q182496
51,bing.com,http://www.wikidata.org/entity/Q863756
52,bing.com,http://www.wikidata.org/entity/Q1146863
53,bing.com,http://www.wikidata.org/entity/Q4914134
54,bing.com,http://www.wikidata.org/entity/Q4914152
55,bing.com,http://www.wikidata.org/entity/Q2878637
56,bing.com,http://www.wikidata.org/entity/Q2889043
57,bing.com,http://www.wikidata.org/entity/Q89269837
63,ebay.com,http://www.wikidata.org/entity/Q58024
64,apple.com,http://www.wikidata.org/entity/Q300911
68,twitter.com,http://www.wikidata.org/entity/Q918
69,china.com.cn,http://www.wikidata.org/entity/Q907111
71,msn.com,http://www.wikidata.org/entity/Q4914149
72,msn.com,http://www.wikidata.org/entity/Q66819336
76,worldometers.info,http://www.wikidata.org/entity/Q25382532
77,wordpress.com,http://www.wikidata.org/entity/Q2001888
79,ok.ru,http://www.wikidata.org/entity/Q1123836
85,aparat.com,http://www.wikidata.org/entity/Q16045816
88,yy.com,http://www.wikidata.org/entity/Q8046104
89,linkedin.com,http://www.wikidata.org/entity/Q213660
95,cnn.com,http://www.wikidata.org/entity/Q12217473
96,bbc.com,http://www.wikidata.org/entity/Q747860
97,bbc.com,http://www.wikidata.org/entity/Q2033966
99,udemy.com,http://www.wikidata.org/entity/Q7877165
100,google.cn,http://www.wikidata.org/entity/Q1011981
101,google.cn,http://www.wikidata.org/entity/Q15929585
104,detik.com,http://www.wikidata.org/entity/Q12481355
108,ettoday.net,http://www.wikidata.org/entity/Q10847025
115,bbc.co.uk,http://www.wikidata.org/entity/Q747860
116,bbc.co.uk,http://www.wikidata.org/entity/Q4704926
117,bbc.co.uk,http://www.wikidata.org/entity/Q4834805
118,bbc.co.uk,http://www.wikidata.org/entity/Q4835012
119,bbc.co.uk,http://www.wikidata.org/entity/Q7019591
120,bbc.co.uk,http://www.wikidata.org/entity/Q4918848
121,bbc.co.uk,http://www.wikidata.org/entity/Q24993594
122,bbc.co.uk,http://www.wikidata.org/entity/Q18336371
123,bbc.co.uk,http://www.wikidata.org/entity/Q22906668
132,pixnet.net,http://www.wikidata.org/entity/Q23306093
134,globo.com,http://www.wikidata.org/entity/Q5571068
138,soundcloud.com,http://www.wikidata.org/entity/Q75971602
139,alibaba.com,http://www.wikidata.org/entity/Q513307
142,youm7.com,http://www.wikidata.org/entity/Q4119059
147,uol.com.br,http://www.wikidata.org/entity/Q1783492
148,hao123.com,http://www.wikidata.org/entity/Q10850884
151,paypal.com,http://www.wikidata.org/entity/Q483959
153,etsy.com,http://www.wikidata.org/entity/Q1353939
154,wetransfer.com,http://www.wikidata.org/entity/Q15142862
155,soso.com,http://www.wikidata.org/entity/Q3491353
163,tumblr.com,http://www.wikidata.org/entity/Q384060
174,6.cn,http://www.wikidata.org/entity/Q10893499
178,speedtest.net,http://www.wikidata.org/entity/Q7575658
181,pixabay.com,http://www.wikidata.org/entity/Q1746538
184,skype.com,http://www.wikidata.org/entity/Q40984
185,cnet.com,http://www.wikidata.org/entity/Q1544247
187,163.com,http://www.wikidata.org/entity/Q196259
190,archive.org,http://www.wikidata.org/entity/Q461
191,archive.org,http://www.wikidata.org/entity/Q6655304
192,mediafire.com,http://www.wikidata.org/entity/Q1139037
197,espn.com,http://www.wikidata.org/entity/Q5324256
198,espn.com,http://www.wikidata.org/entity/Q2887818
199,pinterest.com,http://www.wikidata.org/entity/Q255381
205,wikihow.com,http://www.wikidata.org/entity/Q306527
207,businessinsider.com,http://www.wikidata.org/entity/Q286707
208,nicovideo.jp,http://www.wikidata.org/entity/Q17231234
209,nicovideo.jp,http://www.wikidata.org/entity/Q697233
211,so.com,http://www.wikidata.org/entity/Q10846064
222,zillow.com,http://www.wikidata.org/entity/Q8071921
225,w3schools.com,http://www.wikidata.org/entity/Q7946200
233,avito.ru,http://www.wikidata.org/entity/Q4034642
237,coursera.org,http://www.wikidata.org/entity/Q499962
240,healthline.com,http://www.wikidata.org/entity/Q16983671
244,quizlet.com,http://www.wikidata.org/entity/Q7272716
246,setn.com,http://www.wikidata.org/entity/Q24840422
249,arcgis.com,http://www.wikidata.org/entity/Q76000744
251,ladbible.com,http://www.wikidata.org/entity/Q33111863
252,smallpdf.com,http://www.wikidata.org/entity/Q35169868
253,blogger.com,http://www.wikidata.org/entity/Q171186
254,medium.com,http://www.wikidata.org/entity/Q17074873
259,gmw.cn,http://www.wikidata.org/entity/Q17018623
261,eastday.com,http://www.wikidata.org/entity/Q10870391
268,academia.edu,http://www.wikidata.org/entity/Q2777905
271,softonic.com,http://www.wikidata.org/entity/Q1812174
277,trello.com,http://www.wikidata.org/entity/Q7838011
278,scribd.com,http://www.wikidata.org/entity/Q1467888
