item,itemLabel,website,websiteLabel
http://www.wikidata.org/entity/Q1386398,Q1386398,http://www.Talecris.com/,http://www.Talecris.com/
http://www.wikidata.org/entity/Q1387656,MeVis Medical Solutions,http://www.mevis.de/,http://www.mevis.de/
http://www.wikidata.org/entity/Q1389503,Q1389503,http://www.friatec.de/,http://www.friatec.de/
http://www.wikidata.org/entity/Q1389894,Sveaskog,http://www.sveaskog.se,http://www.sveaskog.se
http://www.wikidata.org/entity/Q1393030,Q1393030,http://www.fvreit.de,http://www.fvreit.de
http://www.wikidata.org/entity/Q1394416,Q1394416,http://www.huegli.com/,http://www.huegli.com/
http://www.wikidata.org/entity/Q1394844,Società Elettrica Sopracenerina,http://www.ses.ch/,http://www.ses.ch/
http://www.wikidata.org/entity/Q1397933,Q1397933,http://www.softline-group.com/,http://www.softline-group.com/
http://www.wikidata.org/entity/Q1401316,Q1401316,http://www.hansa.de/,http://www.hansa.de/
http://www.wikidata.org/entity/Q1402022,Q1402022,http://www.feintool.com/,http://www.feintool.com/
http://www.wikidata.org/entity/Q1404191,INFICON,http://www.inficon.com/,http://www.inficon.com/
http://www.wikidata.org/entity/Q1407462,Q1407462,http://www.hbmbioventures.com/,http://www.hbmbioventures.com/
http://www.wikidata.org/entity/Q1412064,Q1412064,http://www.km.kz/index1.html,http://www.km.kz/index1.html
http://www.wikidata.org/entity/Q1413257,Schmolz + Bickenbach,http://www.schmolz-bickenbach.com/,http://www.schmolz-bickenbach.com/
http://www.wikidata.org/entity/Q1416866,Q1416866,http://www.harwanne.ch/,http://www.harwanne.ch/
http://www.wikidata.org/entity/Q1417614,Hirose Electric Group,https://www.hirose.com/?lang=en,https://www.hirose.com/?lang=en
http://www.wikidata.org/entity/Q1419603,Q1419603,http://www.hci-capital.de/,http://www.hci-capital.de/
http://www.wikidata.org/entity/Q1421630,Handelsbanken,http://www.handelsbanken.com,http://www.handelsbanken.com
http://www.wikidata.org/entity/Q1421630,Handelsbanken,http://www.handelsbanken.se,http://www.handelsbanken.se
http://www.wikidata.org/entity/Q1425103,Q1425103,http://www.takkt.de,http://www.takkt.de
http://www.wikidata.org/entity/Q1427303,Flatex,https://www.flatex.de,https://www.flatex.de
http://www.wikidata.org/entity/Q1428026,Q1428026,http://www.flender.com,http://www.flender.com
http://www.wikidata.org/entity/Q1433222,Q1433222,http://www.viennaairport.com/,http://www.viennaairport.com/
http://www.wikidata.org/entity/Q1437319,Q1437319,https://www.foris.com/,https://www.foris.com/
http://www.wikidata.org/entity/Q1437907,Q1437907,http://www.maternus.de/,http://www.maternus.de/
http://www.wikidata.org/entity/Q1439011,Fortress Investment Group,http://www.fortress.com/,http://www.fortress.com/
http://www.wikidata.org/entity/Q1442706,Q1442706,http://www.franconowest.de/,http://www.franconowest.de/
http://www.wikidata.org/entity/Q1445346,Q1445346,http://www.frankstahl.com/,http://www.frankstahl.com/
http://www.wikidata.org/entity/Q1451893,Q1451893,http://www.frauenthal.at,http://www.frauenthal.at
http://www.wikidata.org/entity/Q1452711,Q1452711,http://www.r-zs.de,http://www.r-zs.de
http://www.wikidata.org/entity/Q1457446,Q1457446,http://www.usigroupholdings.ch/,http://www.usigroupholdings.ch/
http://www.wikidata.org/entity/Q1463179,Q1463179,http://www.gurit.ch/,http://www.gurit.ch/
http://www.wikidata.org/entity/Q1464909,Q1464909,http://www.bpdg.ch/,http://www.bpdg.ch/
http://www.wikidata.org/entity/Q1465005,Orange Polska,http://www.orange.pl/,http://www.orange.pl/
http://www.wikidata.org/entity/Q1468195,Q1468195,http://www.realtech.de/,http://www.realtech.de/
http://www.wikidata.org/entity/Q1470518,Frosta AG,https://www.frosta-ag.com/,https://www.frosta-ag.com/
http://www.wikidata.org/entity/Q1477681,Thaicom,http://www.thaicom.net/,http://www.thaicom.net/
http://www.wikidata.org/entity/Q1477955,Q1477955,http://www.kazakhstankagazy.com,http://www.kazakhstankagazy.com
http://www.wikidata.org/entity/Q1483040,Q1483040,http://www.kaztranscom.kz/,http://www.kaztranscom.kz/
http://www.wikidata.org/entity/Q1485050,GD Power Development Company,http://www.600795.com.cn/,http://www.600795.com.cn/
http://www.wikidata.org/entity/Q1485459,GFT Technologies,http://www.gft.com/,http://www.gft.com/
http://www.wikidata.org/entity/Q1487421,Q1487421,http://www.gtsolar.com/,http://www.gtsolar.com/
http://www.wikidata.org/entity/Q1491569,Gajah Tunggal,http://www.gt-tires.com/,http://www.gt-tires.com/
http://www.wikidata.org/entity/Q1491569,Gajah Tunggal,http://www.gt-tires.com,http://www.gt-tires.com
http://www.wikidata.org/entity/Q1491819,Galenica,http://www.galenica.com/,http://www.galenica.com/
http://www.wikidata.org/entity/Q1494614,Q1494614,http://www.gruppoladoria.it/IT/index.xhtml,http://www.gruppoladoria.it/IT/index.xhtml
