item,itemLabel,website
http://www.wikidata.org/entity/Q510954,Pearltrees,https://pearltrees.com/
http://www.wikidata.org/entity/Q510968,PureMédias,http://www.ozap.com/
http://www.wikidata.org/entity/Q513307,Alibaba.com,https://www.alibaba.com
http://www.wikidata.org/entity/Q517136,Skyrock.com,https://skyrock.com/
http://www.wikidata.org/entity/Q517136,Skyrock.com,https://fr.skyrock.com/
http://www.wikidata.org/entity/Q520154,Wired,https://wired.jp/
http://www.wikidata.org/entity/Q520154,Wired,https://www.wired.co.uk/
http://www.wikidata.org/entity/Q520154,Wired,https://www.wired.com
http://www.wikidata.org/entity/Q520154,Wired,https://www.wired.it/
http://www.wikidata.org/entity/Q521550,Google Images,https://images.google.com/
http://www.wikidata.org/entity/Q528824,Bonsai Kitten,http://bonsaikitten.com
http://www.wikidata.org/entity/Q534035,Chessgames.com,http://www.chessgames.com/
http://www.wikidata.org/entity/Q537539,Jesus Freak Hideout,http://www.jesusfreakhideout.com/
http://www.wikidata.org/entity/Q546345,Yahoo! Babel Fish,http://babelfish.yahoo.com
http://www.wikidata.org/entity/Q547473,MacTutor History of Mathematics archive,http://www-history.mcs.st-andrews.ac.uk/
http://www.wikidata.org/entity/Q551990,Wirtland,http://www.wirtland.com
http://www.wikidata.org/entity/Q553173,DistroWatch,https://distrowatch.com/
http://www.wikidata.org/entity/Q555739,Yatego,http://www.yatego.com
http://www.wikidata.org/entity/Q557919,MedlinePlus,https://www.medlineplus.gov
http://www.wikidata.org/entity/Q559606,Metro Jacksonville,http://www.metrojacksonville.com
http://www.wikidata.org/entity/Q562572,Soompi,http://www.soompi.com/
http://www.wikidata.org/entity/Q562578,Allkpop,http://www.allkpop.com
http://www.wikidata.org/entity/Q568754,Lostpedia,http://lostpedia.wikia.com/
http://www.wikidata.org/entity/Q569142,zeno.org,http://www.zeno.org
http://www.wikidata.org/entity/Q569172,Neopets,http://www.neopets.com/
http://www.wikidata.org/entity/Q571490,Mister Wong,http://www.mister-wong.com/
http://www.wikidata.org/entity/Q573998,/Film,http://www.slashfilm.com/
http://www.wikidata.org/entity/Q575769,Tom's Hardware,http://www.tomshardware.co.uk/
http://www.wikidata.org/entity/Q575769,Tom's Hardware,http://www.tomshardware.com/
http://www.wikidata.org/entity/Q575871,io9,https://io9.gizmodo.com/
http://www.wikidata.org/entity/Q584152,Ars Technica,https://arstechnica.co.uk
http://www.wikidata.org/entity/Q584152,Ars Technica,https://arstechnica.com/
